condition,pid,catBoundDist,famInd,trialsComplete,correct,f0,f1
blocked,59e39cc9c0d35a0001294f20,3,2.64,79.42,0.9,3.58,3.54
blocked,59e39cc9c0d35a0001294f20,4,2.7058823529411766,77.32352941176471,0.9117647058823529,3.4705882352941178,3.5294117647058822
blocked,59e39cc9c0d35a0001294f20,5,2.764705882352941,79.05882352941177,1.0,3.3529411764705883,3.3529411764705883
blocked,5a0323d1c259f30001765337,1,2.6470588235294117,76.90588235294118,0.5647058823529412,3.5176470588235293,3.4705882352941178
blocked,5a0323d1c259f30001765337,2,2.661764705882353,76.20588235294117,0.7352941176470589,3.4411764705882355,3.5
blocked,5a0323d1c259f30001765337,3,2.7058823529411766,81.37254901960785,0.7843137254901961,3.5098039215686274,3.549019607843137
blocked,5a0323d1c259f30001765337,4,2.7142857142857144,72.68571428571428,0.8285714285714286,3.5714285714285716,3.5428571428571427
blocked,5a0323d1c259f30001765337,5,2.466666666666667,87.73333333333333,0.7333333333333333,3.3333333333333335,3.3333333333333335
blocked,5a6759ad35f26b0001496694,1,2.6144578313253013,77.72289156626506,0.6867469879518072,3.4578313253012047,3.602409638554217
blocked,5a6759ad35f26b0001496694,2,2.6714285714285713,77.08571428571429,0.8571428571428571,3.4857142857142858,3.5142857142857142
blocked,5a6759ad35f26b0001496694,3,2.6862745098039214,74.49019607843137,0.9019607843137255,3.4901960784313726,3.450980392156863
blocked,5a6759ad35f26b0001496694,4,2.764705882352941,80.32352941176471,0.8529411764705882,3.5,3.5
blocked,5a6759ad35f26b0001496694,5,2.5625,78.375,0.9375,3.5,3.5
blocked,5ab41678e1546900019b4b15,1,2.6867469879518073,80.49397590361446,0.6867469879518072,3.4096385542168677,3.5542168674698793
blocked,5ab41678e1546900019b4b15,2,2.657142857142857,76.02857142857142,0.7857142857142857,3.5285714285714285,3.5285714285714285
blocked,5ab41678e1546900019b4b15,3,2.6923076923076925,75.86538461538461,0.75,3.519230769230769,3.5961538461538463
blocked,5ab41678e1546900019b4b15,4,2.6666666666666665,78.24242424242425,0.9393939393939394,3.696969696969697,3.6666666666666665
blocked,5ab41678e1546900019b4b15,5,2.588235294117647,77.05882352941177,0.9411764705882353,3.3529411764705883,3.3529411764705883
blocked,5b2150d538b0be00014137fb,1,2.6511627906976742,75.05813953488372,0.5930232558139535,3.558139534883721,3.441860465116279
blocked,5b2150d538b0be00014137fb,2,2.716417910447761,79.82089552238806,0.6716417910447762,3.462686567164179,3.5671641791044775
blocked,5b2150d538b0be00014137fb,3,2.64,76.18,0.86,3.56,3.56
blocked,5b2150d538b0be00014137fb,4,2.657142857142857,74.48571428571428,0.9142857142857143,3.5428571428571427,3.5714285714285716
blocked,5b2150d538b0be00014137fb,5,2.6470588235294117,80.58823529411765,0.9411764705882353,3.3529411764705883,3.3529411764705883
blocked,5bd948d7544d4f000141e81f,1,2.635294117647059,78.37647058823529,0.4588235294117647,3.552941176470588,3.4823529411764707
blocked,5bd948d7544d4f000141e81f,2,2.712121212121212,79.95454545454545,0.5303030303030303,3.5606060606060606,3.5
blocked,5bd948d7544d4f000141e81f,3,2.6666666666666665,75.25925925925925,0.6111111111111112,3.5,3.5
blocked,5bd948d7544d4f000141e81f,4,2.6285714285714286,74.8,0.7428571428571429,3.5428571428571427,3.5714285714285716
blocked,5bd948d7544d4f000141e81f,5,2.7333333333333334,79.93333333333334,0.6666666666666666,3.6666666666666665,3.6666666666666665
blocked,5c28d5a5664ccc000127bec8,1,2.6627906976744184,78.0813953488372,0.5465116279069767,3.546511627906977,3.4767441860465116
blocked,5c28d5a5664ccc000127bec8,2,2.63768115942029,76.1159420289855,0.6666666666666666,3.536231884057971,3.4927536231884058
blocked,5c28d5a5664ccc000127bec8,3,2.673076923076923,76.71153846153847,0.6538461538461539,3.5,3.5
blocked,5c28d5a5664ccc000127bec8,4,2.676470588235294,74.29411764705883,0.7647058823529411,3.5,3.5
blocked,5c28d5a5664ccc000127bec8,5,2.75,80.4375,0.875,3.5,3.5
blocked,5c4484b7b00b3300018f7876,1,2.7,78.7875,0.4625,3.6125,3.4375
blocked,5c4484b7b00b3300018f7876,2,2.6470588235294117,77.75,0.6029411764705882,3.5441176470588234,3.514705882352941
blocked,5c4484b7b00b3300018f7876,3,2.6923076923076925,78.65384615384616,0.5,3.4615384615384617,3.423076923076923
blocked,5c4484b7b00b3300018f7876,4,2.6666666666666665,75.08333333333333,0.5555555555555556,3.5,3.5
blocked,5c4484b7b00b3300018f7876,5,2.588235294117647,74.05882352941177,0.47058823529411764,3.6470588235294117,3.6470588235294117
blocked,5c4ded8b818d4d00013e69c9,1,2.7011494252873565,76.83908045977012,0.6091954022988506,3.4597701149425286,3.5517241379310347
blocked,5c4ded8b818d4d00013e69c9,2,2.716417910447761,79.80597014925372,0.6417910447761194,3.4925373134328357,3.537313432835821
blocked,5c4ded8b818d4d00013e69c9,3,2.66,77.38,0.86,3.46,3.42
blocked,5c4ded8b818d4d00013e69c9,4,2.6285714285714286,76.51428571428572,0.8285714285714286,3.4285714285714284,3.4571428571428573
blocked,5c4ded8b818d4d00013e69c9,5,2.6470588235294117,76.11764705882354,0.9411764705882353,3.6470588235294117,3.6470588235294117
blocked,5c5da3b159ec1d0001fe5606,1,2.630952380952381,77.10714285714286,0.7261904761904762,3.511904761904762,3.488095238095238
blocked,5c5da3b159ec1d0001fe5606,2,2.6911764705882355,78.8529411764706,0.8676470588235294,3.4558823529411766,3.485294117647059
blocked,5c5da3b159ec1d0001fe5606,3,2.6666666666666665,78.15686274509804,0.9607843137254902,3.5098039215686274,3.549019607843137
blocked,5c5da3b159ec1d0001fe5606,4,2.764705882352941,77.94117647058823,0.9705882352941176,3.5,3.5
blocked,5c5da3b159ec1d0001fe5606,5,2.6470588235294117,74.52941176470588,0.9411764705882353,3.3529411764705883,3.3529411764705883
blocked,5c7ceda01d2afc0001f4ad1d,1,2.6785714285714284,77.64285714285714,0.5833333333333334,3.5,3.5238095238095237
blocked,5c7ceda01d2afc0001f4ad1d,2,2.671641791044776,76.55223880597015,0.6716417910447762,3.4925373134328357,3.4776119402985075
blocked,5c7ceda01d2afc0001f4ad1d,3,2.6923076923076925,77.6923076923077,0.7692307692307693,3.519230769230769,3.480769230769231
blocked,5c7ceda01d2afc0001f4ad1d,4,2.6285714285714286,77.31428571428572,0.8285714285714286,3.4571428571428573,3.4285714285714284
blocked,5c7ceda01d2afc0001f4ad1d,5,2.6666666666666665,71.66666666666667,0.6666666666666666,3.5,3.5
blocked,5cc076320004360001ed90dc,1,2.6666666666666665,78.39285714285714,0.6428571428571429,3.4285714285714284,3.5952380952380953
blocked,5cc076320004360001ed90dc,2,2.6714285714285713,76.71428571428571,0.7857142857142857,3.5714285714285716,3.4857142857142858
blocked,5cc076320004360001ed90dc,3,2.625,77.9375,0.8333333333333334,3.3958333333333335,3.3541666666666665
blocked,5cc076320004360001ed90dc,4,2.6666666666666665,75.97222222222223,0.9722222222222222,3.5,3.5
blocked,5cc076320004360001ed90dc,5,2.75,82.625,0.9375,3.1875,3.1875
blocked,5cc7443b836ddc0016fec706,1,2.6666666666666665,78.70238095238095,0.5357142857142857,3.511904761904762,3.5357142857142856
blocked,5cc7443b836ddc0016fec706,2,2.6666666666666665,78.02898550724638,0.6956521739130435,3.536231884057971,3.4347826086956523
blocked,5cc7443b836ddc0016fec706,3,2.660377358490566,74.73584905660377,0.8679245283018868,3.452830188679245,3.490566037735849
blocked,5cc7443b836ddc0016fec706,4,2.6666666666666665,75.3030303030303,0.8181818181818182,3.4242424242424243,3.4545454545454546
blocked,5cc7443b836ddc0016fec706,5,2.6666666666666665,75.72222222222223,0.9444444444444444,3.5,3.5
blocked,5cf91e3f1756e60017a30568,1,2.6547619047619047,78.8452380952381,0.5833333333333334,3.4404761904761907,3.511904761904762
blocked,5cf91e3f1756e60017a30568,2,2.6176470588235294,77.42647058823529,0.75,3.5,3.4411764705882355
blocked,5cf91e3f1756e60017a30568,3,2.7058823529411766,77.76470588235294,0.8627450980392157,3.5098039215686274,3.549019607843137
blocked,5cf91e3f1756e60017a30568,4,2.696969696969697,76.24242424242425,1.0,3.4545454545454546,3.4242424242424243
blocked,5cf91e3f1756e60017a30568,5,2.6666666666666665,70.05555555555556,0.9444444444444444,3.5,3.5
blocked,5d2249547afc290017e5a8f9,1,2.6823529411764704,78.69411764705882,0.5647058823529412,3.5294117647058822,3.5058823529411764
blocked,5d2249547afc290017e5a8f9,2,2.696969696969697,78.0,0.7575757575757576,3.4696969696969697,3.4696969696969697
blocked,5d2249547afc290017e5a8f9,3,2.62,79.1,0.88,3.52,3.48
blocked,5d2249547afc290017e5a8f9,4,2.657142857142857,77.48571428571428,0.8857142857142857,3.4571428571428573,3.4285714285714284
blocked,5d2249547afc290017e5a8f9,5,2.6666666666666665,67.94444444444444,0.8333333333333334,3.5,3.5
blocked,5d31c6bac88f0e00164c3ccb,1,2.611764705882353,77.02352941176471,0.5411764705882353,3.4941176470588236,3.5176470588235293
