"Result ID","Start Time","Last Seen","Duration","Batch","Worker ID","Worker Type","State","Message"
"996","2023/03/02 15:16:52","2023/03/02 16:17:40","01:01:03","Default","867","General Single","FINISHED","none"
"995","2023/03/02 15:16:12","2023/03/02 16:07:50","00:51:48","Default","866","General Single","FINISHED","none"
"990","2023/03/02 15:13:39","2023/03/02 16:17:30","01:03:53","Default","861","General Single","FINISHED","none"
"989","2023/03/02 15:13:03","2023/03/02 16:13:41","01:00:45","Default","860","General Single","FINISHED","none"
"988","2023/03/02 15:12:21","2023/03/02 16:45:06","01:32:51","Default","859","General Single","FINISHED","none"
"987","2023/03/02 15:12:16","2023/03/02 15:54:47","00:42:40","Default","858","General Single","FINISHED","none"
"986","2023/03/02 15:12:11","2023/03/02 16:21:37","01:09:37","Default","857","General Single","FINISHED","none"
"985","2023/03/02 15:10:47","2023/03/02 15:58:30","00:47:54","Default","856","General Single","FINISHED","none"
"984","2023/03/02 15:10:09","2023/03/02 16:49:26","01:39:30","Default","855","General Single","FINISHED","none"
"982","2023/03/02 15:08:30","2023/03/02 16:10:45","01:02:23","Default","853","General Single","FINISHED","none"
"981","2023/03/02 15:06:47","2023/03/02 16:18:35","01:11:53","Default","852","General Single","FINISHED","none"
"980","2023/03/02 15:05:59","2023/03/02 16:22:23","01:16:32","Default","851","General Single","FINISHED","none"
"979","2023/03/02 15:05:47","2023/03/02 16:08:11","01:02:29","Default","850","General Single","FINISHED","none"
"978","2023/03/02 15:04:04","2023/03/02 15:59:21","00:55:22","Default","849","General Single","FINISHED","none"
