rule,pid,condition,famInd,trialsComplete
fi,572faa2cad131600100169b5,blocked,4,117
fi,572faa2cad131600100169b5,blocked,4,118
fi,572faa2cad131600100169b5,blocked,4,119
fi,572faa2cad131600100169b5,blocked,4,120
fi,572faa2cad131600100169b5,blocked,3,121
fi,572faa2cad131600100169b5,blocked,3,122
fi,572faa2cad131600100169b5,blocked,3,123
fi,572faa2cad131600100169b5,blocked,3,124
fi,572faa2cad131600100169b5,blocked,3,125
fi,572faa2cad131600100169b5,blocked,3,126
fi,572faa2cad131600100169b5,blocked,3,127
fi,572faa2cad131600100169b5,blocked,3,128
fi,572faa2cad131600100169b5,blocked,3,129
fi,572faa2cad131600100169b5,blocked,3,130
fi,572faa2cad131600100169b5,blocked,3,131
fi,572faa2cad131600100169b5,blocked,3,132
fi,572faa2cad131600100169b5,blocked,3,133
fi,572faa2cad131600100169b5,blocked,3,134
fi,572faa2cad131600100169b5,blocked,3,135
fi,572faa2cad131600100169b5,blocked,3,136
fi,572faa2cad131600100169b5,blocked,3,137
fi,572faa2cad131600100169b5,blocked,3,138
fi,572faa2cad131600100169b5,blocked,3,139
fi,572faa2cad131600100169b5,blocked,3,140
fi,572faa2cad131600100169b5,blocked,3,141
fi,572faa2cad131600100169b5,blocked,3,142
fi,572faa2cad131600100169b5,blocked,3,143
fi,572faa2cad131600100169b5,blocked,3,144
fi,572faa2cad131600100169b5,blocked,3,145
fi,572faa2cad131600100169b5,blocked,3,146
fi,572faa2cad131600100169b5,blocked,3,147
fi,572faa2cad131600100169b5,blocked,3,148
fi,572faa2cad131600100169b5,blocked,3,149
fi,572faa2cad131600100169b5,blocked,3,150
fi,572faa2cad131600100169b5,blocked,3,151
fi,572faa2cad131600100169b5,blocked,3,152
fi,572faa2cad131600100169b5,blocked,3,153
fi,572faa2cad131600100169b5,blocked,3,154
fi,572faa2cad131600100169b5,blocked,3,155
fi,572faa2cad131600100169b5,blocked,3,156
fi,572faa2cad131600100169b5,blocked,3,157
fi,572faa2cad131600100169b5,blocked,3,158
fi,572faa2cad131600100169b5,blocked,3,159
fi,572faa2cad131600100169b5,blocked,3,160
